path,hour_of_day,date_range,ESB Chiller Plant plantEfficiency_range,ESB_Chillers Demand_range,ESB_Chillers percentRefrigerationLoad_range,ESB_Chillers tonnage_range,Active_Chiller_Load_Percent Value_range,Primary_CHW_Flow Value_range,Building_Load Value_range,ESB_Chillers chillerEvapDifferentialPress_range,ESB_Chillers chillerCondDifferentialPress_range,ESB_Chillers chillerCondLeavingWaterTemp_range,ESB_Chillers chillerEvapEnteringWaterTemp_range,ESB_Chillers outdoorAirTemp_range,ESB_Chillers chillerEvapLeavingWaterTemp_range,ESB_Chillers chillerTotalKw_range,ESB_Chillers chillerCondEnteringWaterTemp_range,ESB_Chillers chillerEvapWaterFlow_range,Mon,Tue,Wed,Thu,Fri,Sat,Sun
1,12am-1am,2021-11-03 - 2021-12-13,0.738-1.08,43.7-54.33,8.6331-12.51,69.06-100.07,6.7441-12.31,1793.03-1851.7,173.9-222.3,5.0273-5.1038,7.615-8.9219,64.5-67.03,45.11-46.38,32.0-44.02,44.16-45.25,48.0-78.7,55.8-61.41,1751.9-1758.8,3,2,3,2,3,3,2
2,12am-1am,2021-08-20 - 2021-12-11,0.5869-0.7143,145.43-211.75,41.34-48.58,330.71-388.64,37.51-49.52,1804.03-1848.01,419.49-518.46,5.0324-5.1019,10.03-14.55,76.01-85.11,46.69-47.45,71.72-82.61,42.12-42.37,155.8-218.8,68.77-77.28,1758.49-1764.29,2,1,1,2,2,3,2
3,2am-9am,2021-09-24 - 2021-12-17,0.4737-1.3287,36.03-78.69,11.13-29.49,89.07-235.93,10.63-39.21,1779.98-1868.75,187.43-399.26,5.2131-5.2587,-1.7579-1.6221,60.11-65.25,43.07-45.57,47.91-67.57,41.71-43.1,40.7-102.9,56.26-65.12,1717.29-1736.0,1,2,1,1,3,3,2
4,2am-11am,2021-08-31 - 2021-10-15,0.5311-0.6876,117.88-293.81,38.33-66.46,306.67-531.65,37.04-67.56,1796.93-1857.92,410.09-669.16,5.1836-5.245,-1.6241-6.5244,72.08-88.04,46.39-49.72,64.76-82.98,41.8-42.67,121.6-335.3,69.95-80.15,1714.26-1735.06,4,5,5,3,3,3,4
5,2am-3am,2021-09-03 - 2021-12-06,0.5485-0.5993,48.13-110.39,16.03-35.72,128.22-285.76,22.56-35.88,1803.19-1847.03,304.64-409.63,5.0272-5.0972,9.9762-14.39,65.24-70.53,44.66-46.58,59.92-67.07,41.99-44.08,78.8-124.2,57.71-64.06,1751.42-1759.64,1,0,1,1,1,1,0
6,2am-11am,2021-10-27 - 2021-12-15,0.5-0.9219,45.87-87.74,10.66-30.81,85.28-246.46,7.3107-39.97,1796.07-1861.28,179.6-421.12,5.0076-5.1215,6.6595-10.33,63.93-67.58,43.19-45.95,44.79-68.58,41.9-44.02,48.5-130.3,55.92-61.59,1745.55-1756.9,3,4,4,4,3,1,4
7,2am-7am,2021-11-03 - 2021-12-14,0.6247-1.22,42.67-57.26,8.8978-13.53,71.18-108.23,2.9533-20.11,1786.47-1853.68,161.74-276.9,5.0291-5.1066,7.915-8.9729,65.33-67.52,46.03-46.82,29.52-43.59,44.86-45.4,44.7-89.1,56.33-62.14,1751.0-1759.1,3,3,3,2,3,4,3
8,2am-3am,2021-08-20 - 2021-12-11,0.5775-0.7126,132.7-260.88,40.62-64.77,324.98-518.17,40.78-62.52,1802.51-1860.67,444.1-624.1,5.0279-5.1038,9.5731-13.88,73.95-85.91,46.56-48.88,67.11-80.48,41.83-42.18,135.9-265.9,67.07-76.58,1756.45-1764.61,2,1,1,2,2,3,2
9,2am-4am,2021-09-07 - 2021-10-21,0.5417-1.2789,71.61-161.78,13.52-39.33,108.2-314.62,12.5-37.66,1791.0-1849.5,202.45-411.03,5.1991-5.2312,2.9871-7.2084,64.73-75.95,43.68-46.92,53.82-67.41,42.01-43.23,80.6-170.3,63.74-76.06,1718.1-1734.49,1,2,1,3,1,1,1
10,4am-1pm,2021-08-20 - 2021-08-30,0.6132-0.7113,180.71-306.25,44.23-71.66,353.83-573.31,43.23-71.81,1796.77-1832.56,465.58-693.44,5.0204-5.058,9.2767-13.69,81.76-88.24,46.97-49.82,73.6-96.18,41.83-42.18,187.6-318.9,74.33-79.3,1757.53-1767.24,2,1,1,1,2,2,2
11,12pm-1pm,2021-10-27 - 2021-12-14,0.4842-3.1351,47.54-116.87,11.48-38.0,91.82-304.04,8.8951-60.12,1798.09-1853.77,196.76-582.06,5.0215-5.1111,7.2459-12.63,63.99-71.93,43.34-47.06,42.83-73.23,41.79-45.23,52.1-186.3,56.16-65.27,1747.57-1758.15,6,7,6,7,6,7,7
12,2pm-11pm,2021-08-30 - 2021-12-17,0.5345-3.0916,90.7-297.72,24.19-68.7,193.56-549.58,2.0551-69.26,1788.4-1868.2,144.13-681.46,5.1948-5.2505,-0.9929-7.3738,67.19-87.9,44.85-49.98,61.8-91.04,41.79-43.36,95.7-332.7,66.09-81.77,1714.84-1735.42,7,6,6,6,6,5,6
13,2pm-8pm,2021-09-24 - 2021-12-15,0.4019-1.244,44.22-135.08,8.5494-40.93,68.4-327.42,10.03-49.52,1794.55-1857.89,197.61-499.65,5.0217-5.2613,-1.7579-13.87,60.58-73.97,43.22-46.59,43.67-76.65,41.75-44.57,47.7-151.7,55.6-66.96,1715.85-1759.75,8,7,6,6,8,9,7
14,2pm-11pm,2021-08-20 - 2021-09-02,0.6177-1.0684,129.0-266.73,32.93-56.92,263.41-455.33,32.5-59.0,1802.04-1831.18,358.97-594.15,5.0098-5.0584,8.0149-14.68,76.0-88.16,45.71-48.29,71.02-97.07,41.85-43.01,133.4-277.6,69.43-78.99,1756.7-1766.65,1,1,2,2,2,2,2
15,9pm-11pm,2021-10-26 - 2021-12-14,0.5509-0.9732,45.42-98.63,9.2059-32.54,73.65-260.35,7.2628-36.58,1796.31-1860.41,175.76-417.28,5.0054-5.1082,6.2306-14.41,63.7-69.59,43.04-45.69,44.54-67.61,41.86-43.39,50.2-109.2,55.62-63.65,1745.85-1756.67,5,6,4,5,2,5,5
16,9pm-11pm,2021-09-22 - 2021-12-17,0.5163-3.2747,42.02-104.48,13.57-31.46,108.58-251.67,11.94-45.64,1798.79-1855.99,199.06-463.65,5.2114-5.2686,-1.7579-5.5337,60.45-75.41,43.34-45.88,54.55-69.25,41.75-43.72,43.9-129.7,56.82-75.59,1718.65-1734.54,2,1,2,2,3,1,2
17,10pm-11pm,2021-11-03 - 2021-12-12,0.6693-1.0419,42.55-56.41,9.0495-11.93,72.4-95.45,6.7516-13.06,1800.57-1845.32,173.96-222.88,5.0446-5.0982,7.6467-9.0425,64.37-66.89,44.67-46.48,32.56-44.7,43.63-45.25,43.9-78.8,54.79-61.11,1750.56-1759.97,2,2,2,2,3,2,2
